Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
SHW,0.0,0,1,0,1,1,0,1
WDC,100.0,1,0,1,0,1,0,1
F,0.0,0,1,0,1,1,0,1
MU,0.0,0,1,0,1,1,0,1
SWK,0.0,0,1,0,1,1,0,1
DVA,100.0,1,0,0,1,0,1,1
CSX,33.33333333333333,1,2,2,1,2,1,3
ALLE,100.0,1,0,1,0,1,0,1
MO,0.0,0,1,1,0,0,1,1
UNH,100.0,1,0,1,0,1,0,1
PARA,0.0,0,1,0,1,1,0,1
FFIV,100.0,1,0,0,1,0,1,1
NOC,100.0,1,0,0,1,0,1,1
MA,50.0,1,1,1,1,2,0,2
ACN,50.0,1,1,0,2,1,1,2
COP,0.0,0,1,0,1,1,0,1
CTRA,100.0,1,0,1,0,1,0,1
SWKS,100.0,1,0,1,0,1,0,1
VRTX,100.0,1,0,0,1,0,1,1
OTIS,0.0,0,1,0,1,1,0,1
J,0.0,0,2,1,1,1,1,2
GOOGL,0.0,0,1,0,1,1,0,1
TER,100.0,1,0,0,1,0,1,1
JKHY,100.0,1,0,0,1,0,1,1
CAG,0.0,0,1,1,0,0,1,1
RSG,100.0,1,0,1,0,1,0,1
TSCO,0.0,0,1,1,0,0,1,1
ABT,0.0,0,2,1,1,1,1,2
AEE,0.0,0,1,1,0,0,1,1
NDSN,100.0,3,0,1,2,1,2,3
GPC,0.0,0,1,0,1,1,0,1
TDG,0.0,0,1,0,1,1,0,1
QCOM,0.0,0,1,0,1,1,0,1
GNRC,0.0,0,1,0,1,1,0,1
STZ,100.0,1,0,1,0,1,0,1
PCAR,100.0,1,0,0,1,0,1,1
APD,0.0,0,1,0,1,1,0,1
EL,100.0,1,0,1,0,1,0,1
USB,100.0,2,0,1,1,1,1,2
FCX,0.0,0,1,0,1,1,0,1
CTVA,100.0,1,0,1,0,1,0,1
LEN,0.0,0,1,0,1,1,0,1
NRG,100.0,2,0,0,2,0,2,2
CRM,0.0,0,1,0,1,1,0,1
ISRG,0.0,0,1,0,1,1,0,1
LH,0.0,0,1,0,1,1,0,1
VMC,100.0,1,0,1,0,1,0,1
FDX,0.0,0,1,0,1,1,0,1
RTX,0.0,0,1,0,1,1,0,1
BSX,100.0,1,0,1,0,1,0,1
MRK,0.0,0,1,1,0,0,1,1
UAL,0.0,0,1,0,1,1,0,1
PRU,0.0,0,1,1,0,0,1,1
TMUS,100.0,1,0,1,0,1,0,1
ENPH,100.0,1,0,0,1,0,1,1
AVY,100.0,1,0,1,0,1,0,1
WDAY,0.0,0,1,0,1,1,0,1
LUV,0.0,0,1,1,0,0,1,1
IT,0.0,0,1,0,1,1,0,1
ECL,100.0,1,0,1,0,1,0,1
IPG,0.0,0,1,1,0,0,1,1
STE,100.0,1,0,0,1,0,1,1
PNC,0.0,0,1,1,0,0,1,1
EBAY,0.0,0,1,0,1,1,0,1
CLX,0.0,0,1,0,1,1,0,1
KMB,100.0,1,0,1,0,1,0,1
CTAS,0.0,0,1,1,0,0,1,1
AMT,100.0,1,0,1,0,1,0,1
INTC,0.0,0,1,0,1,1,0,1
NCLH,0.0,0,1,1,0,0,1,1
CRWD,0.0,0,1,0,1,1,0,1
CMG,100.0,1,0,0,1,0,1,1
META,0.0,0,1,1,0,0,1,1
RF,0.0,0,1,0,1,1,0,1
V,0.0,0,1,1,0,0,1,1
NEM,0.0,0,1,1,0,0,1,1
ON,100.0,1,0,0,1,0,1,1
LOW,100.0,1,0,1,0,1,0,1
HPE,100.0,1,0,0,1,0,1,1
LRCX,100.0,1,0,1,0,1,0,1
NVDA,0.0,0,1,0,1,1,0,1
GD,0.0,0,1,1,0,0,1,1
APA,100.0,1,0,0,1,0,1,1
TROW,0.0,0,1,1,0,0,1,1
PEG,0.0,0,1,0,1,1,0,1
VST,100.0,1,0,1,0,1,0,1
ADBE,100.0,1,0,1,0,1,0,1
ATO,100.0,1,0,0,1,0,1,1
NWSA,100.0,1,0,0,1,0,1,1
VTR,100.0,1,0,1,0,1,0,1
Total,46.0,46,54,44,56,60,40,100
